"Net","Name","X Coord","Y Coord","Side","Hole Size","Type"
"NetD13_1","Via","12.6mm","65.225mm","Bottom","0.2032mm","Through hole"
"NetD1_2","Via","98.9mm","19.8mm","Bottom","0.2032mm","Through hole"
"NetR81_1","Via","18.3199mm","43.525mm","Bottom","0.2032mm","Through hole"
"NetR74_1","Via","16.4mm","61.375mm","Bottom","0.2032mm","Through hole"
"JET_EN","Via","159.8766mm","27.9334mm","Bottom","0.2032mm","Through hole"
"NetJ6_1","Via","60.75mm","76.4mm","Bottom","0.2032mm","Through hole"
"/PEX1_CLKREQ","Via","146.125mm","36.2mm","Bottom","0.2032mm","Through hole"
"NetR113_2","Via","159.375mm","25.375mm","Bottom","0.2032mm","Through hole"
"FOOT_PEDAL_INT","Via","25.625mm","51.675mm","Bottom","0.2032mm","Through hole"
"NetR117_1","Via","152.425mm","36.65mm","Bottom","0.2032mm","Through hole"
"ACC_INT2","Via","43.6562mm","66.9188mm","Bottom","0.2032mm","Through hole"
"NetQ26_3","Via","76.8mm","35.375mm","Bottom","0.2032mm","Through hole"
"RGB_COUT","Via","62.5mm","77.375mm","Bottom","0.2032mm","Through hole"
"RGB_DOUT","Via","62.65mm","76.175mm","Bottom","0.2032mm","Through hole"
"TOF_RX","Via","167.62mm","21.025mm","Bottom","0.2032mm","Through hole"
"TOF_TX","Via","170.775mm","22.9mm","Bottom","0.2032mm","Through hole"
"CC2","Via","35.3968mm","24.6282mm","Bottom","0.2032mm","Through hole"
"NetC56_2","Via","156.65mm","56.825mm","Bottom","0.2032mm","Through hole"
"JET_PGOOD","Via","158.9mm","65.05mm","Bottom","0.2032mm","Through hole"
"SYS_RESET_BUFF","Via","161.375mm","65.525mm","Bottom","0.2032mm","Through hole"
"EN_FAN","Via","32.375mm","50.35mm","Bottom","0.2032mm","Through hole"
"PGOOD","Via","31.925mm","47.825mm","Bottom","0.2032mm","Through hole"
"FP_RADIO_SHDN","Via","24.775mm","71.15mm","Bottom","0.2032mm","Through hole"
"FP_RADIO_CS","Via","19.6216mm","74.5102mm","Bottom","0.2032mm","Through hole"
"NetQ10_3","Via","29.95mm","47.3mm","Bottom","0.2032mm","Through hole"
"VBUS_DET","Via","121.5mm","28.1mm","Bottom","0.2032mm","Through hole"
"DET_RADIO_INT","Via","44.95mm","50.9mm","Bottom","0.2032mm","Through hole"
"TEMP_FAULT","Via","42.8mm","69.75mm","Bottom","0.2032mm","Through hole"
"CAM_SYNC","Via","17.85mm","49.9mm","Bottom","0.2032mm","Through hole"
"MB_PWR_EN","Via","28.225mm","81.95mm","Bottom","0.2032mm","Through hole"
"SWO","Via","44.35mm","80.75mm","Bottom","0.2032mm","Through hole"
"ICD_INT_MB","Via","123.1911mm","75.6mm","Bottom","0.2032mm","Through hole"
"FORCE_REC","Via","155.9mm","32.175mm","Bottom","0.2032mm","Through hole"
"CAM_I2C_SCL","Via","157.3822mm","24.038mm","Bottom","0.2032mm","Through hole"
