Altium Designer Pick and Place Locations
C:\Users\mattz\AppData\Local\TempReleases\Snapshot\1\Assembly ES-10003\ES-10003-PPL-REVC.txt

========================================================================================================================
File Design Information:

Date:       19/08/24
Time:       12:02
Revision:   Not in VersionControl
Variant:    ES-10003
Units used: mm

Designator Layer       Center-X(mm) Center-Y(mm) Rotation 
C32        TopLayer    24.1300      58.0686      180      
C163       BottomLayer 114.7513     61.7211      180      
C161       BottomLayer 112.5750     70.2000      180      
C160       BottomLayer 108.1250     65.0000      180      
C159       BottomLayer 108.1250     63.3173      180      
C158       BottomLayer 114.7500     62.7000      180      
C157       BottomLayer 112.0208     60.0933      180      
C156       BottomLayer 112.0000     58.0500      180      
C155       BottomLayer 109.2200     66.9290      90       
C175       TopLayer    154.0945     63.9690      90       
C9         TopLayer    57.8234      56.6589      0        
C148       BottomLayer 90.6729      44.3240      180      
C147       BottomLayer 81.6110      45.0250      270      
C146       BottomLayer 84.4774      39.8062      180      
C145       BottomLayer 84.4774      38.0612      180      
C144       BottomLayer 90.6729      45.4240      180      
C142       BottomLayer 93.1278      41.3240      90       
C141       BottomLayer 91.0279      41.3240      90       
C140       BottomLayer 83.2229      42.1336      90       
C137       BottomLayer 121.2347     49.8250      180      
C136       BottomLayer 114.5847     50.1750      0        
C135       BottomLayer 120.2750     59.0250      0        
C134       BottomLayer 120.2715     60.6991      0        
C133       BottomLayer 120.1682     48.3480      90       
C10        TopLayer    72.2593      30.0500      270      
C8         BottomLayer 77.9250      76.1500      0        
C132       BottomLayer 114.4500     54.1250      270      
C131       BottomLayer 112.4500     54.1250      270      
C127       BottomLayer 121.2597     51.9250      0        
C7         BottomLayer 65.6799      61.0204      90       
C6         BottomLayer 59.4799      61.5204      0        
C5         TopLayer    90.4305      70.7461      90       
